Country,GDP,Population,GDP_per_capita,Area
Turkiye,1118252964261.0,85325965,13105.66,780580.0
Turkmenistan,60628857143.0,7364438,8232.65,488100.0
Turks and Caicos Islands,1402054391.0,46198,30348.81,430.0
Tuvalu,62280311.59,9816,6344.78,26.0
Uganda,48768955863.0,48656601,1002.31,236040.0
Ukraine,178757021965.0,37732836,4737.44,603700.0
United Arab Emirates,514130432653.0,10483751,49040.69,82880.0
United Kingdom,3380854520810.0,68350000,49463.86,244820.0
United States,27720709000000.0,334914895,82769.41,9631420.0
Uruguay,77240830877.0,3388081,22797.81,176220.0
Uzbekistan,101591769702.0,35652307,2849.51,447400.0
Vanuatu,1126313359.0,320409,3515.24,12200.0
Venezuela,92210000000.0,30518260,3474.0,912050.0
Vietnam,429716969044.0,100352192,4282.09,329560.0
Western Sahara,1000000.0,565581,2500.0,266000.0
West Bank and Gaza,17420800000.0,5165775,3372.35,6220.0
Yemen,21045000000.0,34449825,617.0,1910.0
Zambia,27577956471.0,20723965,1330.73,752614.0
Zimbabwe,35231367886.0,16340822,2156.03,390580.0
